sub	run	task	bold_PhaseEncodingPolarityGE	bold_PhaseEncodingDirection	fmap_PhaseEncodingPolarityGE	fmap_PhaseEncodingDirection
sub-002	run-01	task-restopen	Unflipped	j-	Flipped	j
sub-002	run-02	task-restclosed	Unflipped	j-	Flipped	j
sub-002	run-03	task-restclosed	Unflipped	j-	Flipped	j
sub-002	run-04	task-restopen	Unflipped	j-	Flipped	j
sub-002	run-05	task-restclosed	Unflipped	j-	Flipped	j
sub-002	run-06	task-restopen	Unflipped	j-	Flipped	j
sub-002	run-07	task-restclosed	Unflipped	j-	Flipped	j
sub-002	run-08	task-restopen	Unflipped	j-	Flipped	j
sub-002	run-09	task-restopen	Unflipped	j-	Flipped	j
sub-002	run-10	task-restopen	Unflipped	j-	Flipped	j
sub-002	run-11	task-restclosed	Unflipped	j-	Flipped	j
